gene,SubGroup-20220203-152500_log2FoldChange,SubGroup-20220125-002321_log2FoldChange,SubGroup-20220124-145618_log2FoldChange,SubGroup-20220202-091554_log2FoldChange,SubGroup-20220128-143511_log2FoldChange,SubGroup-20220127-164231_log2FoldChange,SubGroup-20220127-225258_log2FoldChange,SubGroup-20220203-111436_log2FoldChange,SubGroup-20220206-000257_log2FoldChange,SubGroup-20220124-211720_log2FoldChange,SubGroup-log2FC_median,SubGroup-log2FC_mean,NT-TP_log2FoldChange,pvalue
ADCY8,-2.5289420278044075,-2.825587272075851,-2.161928616748668,-3.1104230106858677,-1.821435280735103,-2.366488322118027,-2.2473275805362407,-2.5086540946681666,-2.4169670369003127,-3.357722710537855,-2.4628105657842396,-2.5280260471449765,,
NR0B1,2.792983354451962,2.7129933288668426,2.6859613546538066,2.7741632673355126,1.9800009792843971,2.4278245651658765,2.942223251742332,3.112118582933997,4.346281917827997,3.7686497480159113,2.783573310893737,2.938797605561125,,
BRDT,4.9138648084837575,4.348524145149897,3.8971291752777466,4.830285820066665,4.315569442823073,4.2207824916970695,6.993746012177444,7.460989967164754,8.446555399173224,5.550568016057593,4.872075314275211,5.440917326576948,,
CALB1,3.166272792755004,3.2652287910009186,3.095886429841839,3.2003195113961156,2.9428848391958717,2.7956624269183443,3.14933974312454,3.2693771570358123,3.1431049000065623,2.4404880010157637,3.146222321565551,3.055889719441484,1.2542964962980547,0.009614366391606167
CDH10,2.942453024270254,2.3510067576861693,2.7007044251578574,2.7251115775690233,2.398865264636519,2.2397213136700893,3.296480229550017,3.280694801457064,6.190046503804496,5.181277746523634,2.833782300919639,3.2854676313858873,,
CHGA,4.234398138035623,4.195693189902833,3.1486530853579544,4.326343986475241,3.0082359847344247,3.17877305892837,5.087511930081283,5.24696047023821,4.259732220834743,4.120624383275792,4.215045663969228,4.092906555621245,1.7460386878118352,0.00227420060315563
CLPS,5.8156400125484256,5.740093760440523,5.860895497451754,5.7292642297360254,5.082555194556435,5.763075690624412,5.416371140361913,5.663867944019038,3.543271672089137,4.25270982042158,5.696566086877532,5.324028277193343,,
CPA2,3.3500166186369924,3.4464185067733073,3.166898258632756,3.556020011512536,3.047091421897987,3.1174197721478936,4.063230559491501,3.9482859901406213,4.862787972181634,4.804367934688596,3.5012192591429216,3.7148869368406134,3.939845246884479,1.459430090516899e-05
CTAG1B,4.574918898577819,4.6431434301807295,4.5167168155770545,4.764082639190884,4.9551491380904285,4.585214242815562,4.841643227820664,4.870234717593509,4.230997418828502,2.3316861331520164,4.614178836498146,4.4479968634841205,,
CYP11B2,-4.281516108232271,-4.324564458156041,-3.398377556798636,-4.30430530567805,-4.41850764876208,-4.355225675668878,-4.3266516005786775,-4.2157535913604285,-4.536429182168766,-4.505062047719374,-4.325608029367359,-4.272000109499142,,
EYA4,3.293993106032248,3.1484867465921207,3.05399042214075,3.320756693089152,2.6310788747345266,1.9888527973894619,3.1199231570071744,3.35330078472937,2.955470379316444,1.9056650379500761,3.0869567895739625,2.896224980777753,,
GAGE1,3.729879932762139,3.5351616099155465,4.389139781874476,4.068144439280687,5.688848328102922,4.202438891861807,3.781389199201874,3.7071176898317115,5.054979300661778,3.461484744755003,3.92476681924128,4.14030461249902,2.8582924658589706,0.020875109876736957
GAGE4,3.8220783773470743,3.681817196623415,4.444879935657228,3.9261326324745105,5.328866583485425,4.188031628192959,4.132016835218049,3.8150206603877597,4.1974579028976455,3.224455619905826,4.029074733846279,4.071802918730561,2.8119651822605074,0.002128393141807983
HTR2B,-2.7093730233830287,-2.6385809183983673,-2.4738574109477756,-2.7918710947740917,-2.0715851496824977,-2.4953768513403696,-2.659075287178497,-2.879980986509228,-2.7063933787490475,-1.8073370749601056,-2.648828102788432,-2.534750843519222,,
MAGEA4,7.323746695986137,6.855633795319303,6.542493512001493,6.354287928563231,6.6062282015589755,6.701437008998788,7.388230511101686,8.018303467157915,7.446720551309029,6.002439300818322,6.778535402159045,6.910732397724902,3.4052733016464543,0.0019958388841226486
MAGEA8,5.494696456317864,5.897117762079047,5.810752588689467,6.85882200781748,6.538298379515226,6.036396134114463,5.268285229392384,5.3727705231110034,4.814264031370707,3.720821391224334,5.652724522503665,5.587722638739603,,
MAGEA11,3.554416474151284,4.633435189788115,4.1328324556848735,5.001889013874314,4.488078782363522,4.440843072844952,4.482579028868331,2.769630883039047,3.5728083333162535,1.9757184100867573,4.286837764264913,3.939915400752943,,
MAGEB2,3.848551500286996,3.602345723348879,3.6549205767830335,4.126201154928572,4.311969488792709,3.85817361028243,4.235186831957967,4.09760563278387,2.723984557919607,1.7978994301015156,3.853362555284713,3.6463819147700267,,
MMP12,2.3260927338065946,2.1934527303945797,2.038829930481397,2.2350882509696963,1.9208138947412408,1.9877031549748432,2.468170983360444,2.4644632454304634,2.8564577475208472,4.181616704180996,2.2805904923881455,2.4502981698408406,,
MT1B,-2.9842936018148376,-3.0477524690546804,-4.690508709441782,-2.9507519262878574,-4.493262642252794,-4.639026900007741,-3.0165963890131517,-2.826876851820384,-3.7099757169906216,-5.296161458794031,-3.378864093022651,-3.7303700689545938,,
MYH3,-2.0152032062853418,-2.0313464195310784,-2.053748399562182,-1.9960464904731803,-1.5193388543659827,-1.8448801414449323,-1.948866642696881,-1.868334226689895,-1.935722276849485,-2.3213207422401583,-1.9724565665850307,-1.9552058151567406,-0.9384479495605096,0.0004555931017497455
PCDH9,1.6912700663038807,1.6397247492453564,1.9193204526632834,1.6680676706616675,1.7916799030961459,1.7683643150965742,1.7693200808332765,1.7164835381212724,1.6015880426994182,1.7366672315157252,1.7265753848184988,1.7299146759141002,-0.6480513685364117,0.04154221720019966
PRSS1,2.3110911875464173,2.285768373411596,2.6492506021559583,2.293872999522696,2.098763716275327,2.216982574601912,2.7685802992524184,2.9585128233284377,2.5066777302172376,4.411941485070303,2.4088844588818272,2.628211477296739,,
TMPRSS15,4.562200608702253,4.9910975931920225,4.505276183773267,4.775756925814479,3.8618957161758036,4.914025720287079,3.664562773551951,4.242383891560734,3.3465348529987726,2.294373960739233,4.373830037667,4.139267114951145,,
SERPINB3,2.404500613009659,2.2919568697609685,1.877323610646952,2.253580543782944,1.8516439842531218,1.8191382484505139,2.331415714452095,2.4522855193451694,3.4782547864351687,4.048699981021102,2.3116862921065318,2.4654987421149297,,
SH3GL3,-3.067219975806241,-2.548520435764403,-3.0680760017749145,-2.0659434783307162,-1.5934930504435603,-2.7861677957125424,-3.2330433679023347,-2.834227502282787,-3.324013096557846,-5.672577928358034,-2.950723739044514,-3.013091488361627,,
SST,4.509049787880414,4.08101045980337,4.445957780629314,5.2749984937540955,5.414850183428054,5.500727392408207,5.147697083001449,5.365929217636819,4.619835325514508,3.4308329342855948,4.883766204257979,4.788604987509073,4.159748817459353,0.0008101256202052598
SSX2,5.5789898584498,4.29134502869839,5.214952614711288,5.400353659429176,6.493327739666905,6.212575986138711,4.576700015142022,3.9920812546331494,3.882892034698887,2.270851999413192,4.895826314926655,4.800899682355288,1.933898412376113,0.01947845410562472
TUBA3C,5.298520571989169,4.604871955985117,4.448140088607277,5.323076123628578,5.708614711568062,4.902092773782203,5.282734146988148,5.101343921516054,4.651200421458813,5.3643712522097395,5.192039034252101,5.079727727453206,1.850163487879515,0.005900716535202824
