gene,SubGroup-20220223-122243_log2FoldChange,SubGroup-20220223-141121_log2FoldChange,SubGroup-20220223-145715_log2FoldChange,SubGroup-log2FC_median,SubGroup-log2FC_mean,NT-TP_log2FoldChange,pvalue
ABCA4,-2.712669859271372,-2.4288195678494744,-3.1059742228687774,-2.712669859271372,-2.7400333773152488,,
AGTR1,1.1191615178380394,1.363446066152445,1.907460930384677,1.363446066152445,1.4383786451319016,,
ALB,-1.2856051619828628,-3.0070295245412413,-1.728628779068805,-1.728628779068805,-1.9374730611654285,,
ALOX15B,-2.2988906129036555,-1.23486322438831,-2.319548931620138,-2.2988906129036555,-2.0380483454539395,,
ALPPL2,-2.288595128794365,-1.1617876376304677,-3.1195036474065168,-2.288595128794365,-2.2146203856564286,,
ANPEP,-2.5858962131069303,-1.5960237053233384,-2.476925257392343,-2.476925257392343,-2.2839426083037386,1.317784444276978,8.382915562353978e-05
AOX1,1.2747077696700275,1.2151740900097938,1.9285974093173872,1.2747077696700275,1.423296759666809,,
APOB,1.7792501105586465,-1.049698417342244,1.7608294993589826,1.7608294993589826,1.062802672983592,1.5513904311911808,0.006395943022319889
AQP3,-1.788824306809193,-1.2226054062797445,-1.671032478260499,-1.671032478260499,-1.588373667402484,,
AQP5,-3.271977097014725,-2.5174201280184896,-3.226257727874085,-3.226257727874085,-3.060478170195346,,
ATOH1,-1.29646071455706,-1.4532293082362695,-1.7420252783973451,-1.4532293082362695,-1.486236152356736,,
C4BPB,-1.096969077079115,-1.085062035053809,-1.3987741700009557,-1.096969077079115,-1.1694435898032487,,
C8G,-1.556259568255162,-1.2395315000794482,-1.6179437811783706,-1.556259568255162,-1.4924986044420356,,
CA2,-1.6689353919120071,-1.5199939114768866,-1.550803949717032,-1.550803949717032,-1.5726343007057395,,
CA8,-1.8106148581872876,-1.5494843428849336,-1.992203037784746,-1.8106148581872876,-1.7907292742610637,,
CBFA2T3,-1.2573571175877214,-1.1629454087789683,-1.5967976760750762,-1.2573571175877214,-1.3186143300073718,,
CEL,1.3813582168104361,1.8131320225971232,2.346479515389516,1.8131320225971232,1.8385254443485497,,
CELP,1.4861589945651767,1.7718548699628074,1.7430867342931304,1.7430867342931304,1.6860468332785612,,
CES1,1.9917025969504571,2.161616799525048,2.3463939825149676,2.161616799525048,2.16533254462888,,
CHGB,2.7945072622963534,2.65886583171749,2.962473676093119,2.7945072622963534,2.8025885081008286,2.2546109177740314,3.4483727284795215e-07
CHRNA7,-1.822530691554953,-1.37951378940276,-1.7486719943552733,-1.7486719943552733,-1.674847117417065,,
CHRNB2,1.2185708616124957,1.327667994831997,2.0922785584685917,1.327667994831997,1.4915463524362704,,
CLCA1,-2.1653172086824566,-3.6498715516600013,-2.4408858737359056,-2.4408858737359056,-2.674240126953567,,
CNGA3,1.1165346771470472,1.6477163395341956,1.8752612896039236,1.6477163395341956,1.5718071614548403,,
COL4A3,1.650483282612926,1.1571170352379685,1.4289956562972324,1.4289956562972324,1.4163979076113398,,
COL9A3,1.7854336370162611,1.3723422992721201,1.9452473687881062,1.7854336370162611,1.722114235523187,,
