mRNA	logFC	FDR	Sub-0	Sub-1	Delta
IGF2	-2.4047981140158154	1.7243909743233423e-12	234447.2	43595.473053892216	563798.1843962887
H19	-1.6683592154317717	7.624128027145721e-08	245468.53333333333	67777.37724550898	409529.6896851877
HP	0.7755405651621065	1.744434949268224e-05	452081.75897435896	767497.8982035929	350607.74285445357
ALB	0.1472352448845016	0.31575610895756195	2229328.241025641	2404389.2694610776	328235.68949534546
AFP	-4.017106881094661	4.788617213295736e-25	49515.83076923077	3365.5449101796407	198910.3845061957
C3	0.40512850855504523	3.0308755668308254e-05	407917.41025641025	527465.0299401197	165258.972030816
RBP4	0.8516869801683691	4.180880728499331e-13	159456.84615384616	280205.7964071856	135807.31976794146
GLUL	1.653852916871122	4.786077048390811e-16	80229.15897435897	248159.61676646708	132687.22858786053
AMBP	0.6414322445796526	4.7681106140772e-09	200763.4153846154	303510.19161676645	128776.12815963101
SERPINA1	-0.1257293625326567	0.2598809361823574	940816.5948717949	845617.9101796407	118288.27073337552
APOC1	0.7716409987144422	4.748695225005397e-11	150567.66153846154	248039.80239520958	116184.18072363659
TF	0.40715955689151445	0.0031586600646603207	279993.7641025641	363709.622754491	114002.13692438722
APOC3	0.9440579099571876	1.7821559394759065e-09	112478.7641025641	214949.7724550898	106186.46695323421
ALDOB	0.8529222131086711	3.875706855050538e-06	120594.71282051282	218304.36526946106	102857.90934807643
APOH	0.6987610747896998	1.3250617037529226e-07	142557.38461538462	227137.78443113773	99613.55129305478
SERPINC1	1.3734689056539275	1.906192597166368e-18	72519.41025641025	181129.5868263473	99603.15504354
CRP	-0.8500695867632476	0.0031445141268353787	116348.62051282052	64326.071856287424	98904.42375980725
CYP2E1	1.1183904986080715	3.1283185270837245e-05	82501.31794871794	176538.77844311378	92268.6901164897
APOA2	0.2012813188030779	0.23562441927101885	457495.6923076923	507100.7245508982	92085.33629441945
FTL	-0.17504056648567418	0.13568970340789868	511631.41025641025	447089.6586826347	89556.25188314643
APOA1	0.32724887437144423	0.06483102123985592	267252.0564102564	335470.2754491018	87457.93463371013
FGA	0.19156762162044022	0.17742184322302065	442469.8102564103	494499.5269461078	84762.88918966799
GAPDH	-0.5918622578816911	6.176467162710939e-12	136692.13846153847	90796.40718562875	80902.91770452292
EPHX1	0.8824090445752143	7.203514202470425e-13	91186.53333333334	158537.60479041917	80463.8217567926
COL1A1	-2.252332094807544	4.15582048162016e-32	34199.6	7522.568862275449	77028.85670958008
SPP1	-1.4511972299614069	3.422984737130264e-07	51586.05641025641	19053.74251497006	74861.54216719698
APOE	0.24497714935580817	0.02712340870339637	296815.9641025641	347326.9281437126	72713.12876914204
CFB	0.5115879487760513	3.2695716917165966e-06	141796.04102564103	192863.94610778443	72541.1457728725
