,gene,SubGroup-20220427-060001_log2FoldChange,SubGroup-20220427-060001_padj,SubGroup-20220430-004133_log2FoldChange,SubGroup-20220430-004133_padj,SubGroup-20220429-185614_log2FoldChange,SubGroup-20220429-185614_padj,SubGroup-20220421-205602_log2FoldChange,SubGroup-20220421-205602_padj,SubGroup-20220421-025501_log2FoldChange,SubGroup-20220421-025501_padj,SubGroup-20220429-003157_log2FoldChange,SubGroup-20220429-003157_padj,SubGroup-20220425-064702_log2FoldChange,SubGroup-20220425-064702_padj,SubGroup-20220429-130636_log2FoldChange,SubGroup-20220429-130636_padj,SubGroup-20220425-081002_log2FoldChange,SubGroup-20220425-081002_padj,SubGroup-20220419-183523_log2FoldChange,SubGroup-20220419-183523_padj,SubGroup-20220323-140755_log2FoldChange,SubGroup-20220323-140755_padj,SubGroup-20220324-071315_log2FoldChange,SubGroup-20220324-071315_padj,SubGroup-20220322-054649_log2FoldChange,SubGroup-20220322-054649_padj,SubGroup-20220425-114106_log2FoldChange,SubGroup-20220425-114106_padj,SubGroup-20220419-223032_log2FoldChange,SubGroup-20220419-223032_padj,SubGroup-20220324-221313_log2FoldChange,SubGroup-20220324-221313_padj,SubGroup-20220418-141453_log2FoldChange,SubGroup-20220418-141453_padj,SubGroup-20220423-160346_log2FoldChange,SubGroup-20220423-160346_padj,SubGroup-20220321-233956_log2FoldChange,SubGroup-20220321-233956_padj,SubGroup-20220423-200800_log2FoldChange,SubGroup-20220423-200800_padj,SubGroup-20220428-164506_log2FoldChange,SubGroup-20220428-164506_padj,SubGroup-20220419-225028_log2FoldChange,SubGroup-20220419-225028_padj,SubGroup-20220325-000524_log2FoldChange,SubGroup-20220325-000524_padj,SubGroup-20220501-032700_log2FoldChange,SubGroup-20220501-032700_padj,SubGroup-20220428-005140_log2FoldChange,SubGroup-20220428-005140_padj,SubGroup-20220415-113944_log2FoldChange,SubGroup-20220415-113944_padj,SubGroup-20220422-183229_log2FoldChange,SubGroup-20220422-183229_padj,SubGroup-20220322-212513_log2FoldChange,SubGroup-20220322-212513_padj,SubGroup-20220322-144533_log2FoldChange,SubGroup-20220322-144533_padj,SubGroup-20220415-113406_log2FoldChange,SubGroup-20220415-113406_padj,SubGroup-20220423-182806_log2FoldChange,SubGroup-20220423-182806_padj,SubGroup-20220423-120742_log2FoldChange,SubGroup-20220423-120742_padj,SubGroup-20220423-145825_log2FoldChange,SubGroup-20220423-145825_padj,SubGroup-20220426-164619_log2FoldChange,SubGroup-20220426-164619_padj,SubGroup-20220424-122548_log2FoldChange,SubGroup-20220424-122548_padj,SubGroup-20220324-063145_log2FoldChange,SubGroup-20220324-063145_padj,SubGroup-20220423-211035_log2FoldChange,SubGroup-20220423-211035_padj,SubGroup-20220322-100645_log2FoldChange,SubGroup-20220322-100645_padj,SubGroup-20220418-071839_log2FoldChange,SubGroup-20220418-071839_padj,SubGroup-20220501-210949_log2FoldChange,SubGroup-20220501-210949_padj,SubGroup-20220424-114549_log2FoldChange,SubGroup-20220424-114549_padj,SubGroup-20220422-154400_log2FoldChange,SubGroup-20220422-154400_padj,SubGroup-20220422-082857_log2FoldChange,SubGroup-20220422-082857_padj,SubGroup-20220430-031450_log2FoldChange,SubGroup-20220430-031450_padj,SubGroup-20220502-031445_log2FoldChange,SubGroup-20220502-031445_padj,SubGroup-20220322-061738_log2FoldChange,SubGroup-20220322-061738_padj,SubGroup-20220422-221945_log2FoldChange,SubGroup-20220422-221945_padj,SubGroup-20220425-213522_log2FoldChange,SubGroup-20220425-213522_padj,SubGroup-20220422-074040_log2FoldChange,SubGroup-20220422-074040_padj,SubGroup-20220422-000353_log2FoldChange,SubGroup-20220422-000353_padj,SubGroup-20220421-043635_log2FoldChange,SubGroup-20220421-043635_padj,SubGroup-20220430-075345_log2FoldChange,SubGroup-20220430-075345_padj,SubGroup-20220424-145230_log2FoldChange,SubGroup-20220424-145230_padj,SubGroup-20220423-113919_log2FoldChange,SubGroup-20220423-113919_padj,SubGroup-20220423-113340_log2FoldChange,SubGroup-20220423-113340_padj,SubGroup-20220422-233617_log2FoldChange,SubGroup-20220422-233617_padj,SubGroup-20220323-043857_log2FoldChange,SubGroup-20220323-043857_padj,SubGroup-20220430-091018_log2FoldChange,SubGroup-20220430-091018_padj,1-blank_ratio,NT-TP_log2FoldChange,pvalue,type_COAD,SUPPORT_COAD,CONFIDENCE_COAD,LIFT_COAD,COUNT_COAD,type_READ,SUPPORT_READ,CONFIDENCE_READ,LIFT_READ,COUNT_READ
0,ABAT,1.0928023604544466,9.728775836277471e-14,,,1.1528483256145463,3.824600013073516e-15,,,1.3963009347262711,1.9393190829163344e-23,,,1.111559002252933,1.2394819032369985e-15,1.1197159259649088,3.3032934932585166e-14,1.1227238378163498,1.1541366789755557e-16,,,1.1491131770473255,1.954107138499005e-14,1.242064161232119,6.762868061012167e-18,1.2997404338745049,1.986058306501038e-18,1.1752366683786466,5.23622198892028e-16,1.0226828516131787,3.1015578469653086e-11,1.1278270687654988,6.064847063086851e-16,1.0453369629527918,4.56358207004854e-12,1.2168983927153625,2.7157589976499813e-18,1.2221882913661388,5.87194412047875e-16,1.0716356051032734,4.964485381585761e-12,1.044889418623943,2.2577993254758978e-12,1.3453706903884342,1.044038056447275e-20,,,1.3165637268571124,2.199933431234093e-20,,,1.0826725829390371,2.2717643375752574e-12,1.2052382561021349,9.15953292180949e-16,1.2264054018051045,9.193364191844178e-19,,,1.3582081969913635,2.1557109398587123e-21,1.0757440858786351,1.7413973989912535e-14,,,,,1.0778933826450827,1.6018875076125618e-14,1.6495967245308305,2.634174694704458e-33,1.1140149216703696,2.900859253192383e-15,1.3010835101402995,1.8970451825269217e-18,,,,,1.0821843035619596,5.843930317352729e-14,1.2313405455645527,7.459431903563709e-16,1.393667944704709,8.400205165341426e-23,1.189396883129669,7.880475617561647e-15,1.360187742427308,6.535649054447764e-22,1.1402921209303374,1.4669605703169506e-16,,,,,1.168265017155172,1.5219732111252564e-15,1.1482838335162753,8.096907419770319e-16,1.2653627749744514,4.203816700758224e-17,1.0312694279934649,4.514312196897652e-12,1.1778129902233696,4.863565749134763e-15,,,1.121733197407544,1.3460089139470238e-16,,,1.035756488155789,2.840247152072739e-13,,,1.2564862487823931,3.4414276327539525e-17,72.41379310344827,,,,,,,,,,,,
1,ABCA4,-2.232752198130642,8.270729136793838e-14,,,-2.762217091814658,9.557745119658742e-21,,,-2.979125126411094,6.006778010182554e-26,,,-2.761785426335643,5.4115751261437116e-21,-1.340255173749039,2.3945755594983705e-05,-1.4548337462563323,6.864325630035479e-06,-2.2194102206531103,1.1577988069728192e-12,-2.54875866559801,3.875726252345222e-17,-2.9492073353160184,7.253992503448546e-23,-3.1320508606025643,6.519443822764305e-28,-2.250968514325311,1.2519077127749182e-13,,,-2.4982264750083347,2.91130807593191e-16,-2.647200126056016,1.036868919083821e-18,-2.936021540326028,1.466523700800487e-23,-2.7351958621865484,3.530025084951524e-20,-2.083432225943709,1.4734901638817e-11,-2.1556594159856077,6.452849828179151e-12,-3.025630210877744,5.5975299743928055e-27,,,-3.0138576194368887,4.308183520926682e-25,-1.210678455319988,5.5531129411223735e-05,,,-2.982195137598718,8.135365868068714e-26,-2.9798730305705763,8.149568941925646e-26,-2.362103120432761,3.7783479022252014e-15,-3.022638273669752,2.777354768051397e-26,-2.44217298642604,4.9101714183142426e-17,-2.01530143915894,3.878546780366769e-12,-2.1550658328027974,1.7351468281969706e-12,-1.9507605714129923,1.2725436524724825e-10,-3.308309188037614,3.266936247629159e-33,-2.507631854136173,3.400914810715296e-17,-2.928358237187774,9.583929087425703e-25,,,-1.8067006922076936,7.722923888746628e-10,-2.9453297737829827,2.814261476820974e-24,-3.134409349141396,2.3116007748679995e-27,-2.650480851201005,9.06525412999104e-20,-2.6977147531018586,8.920568198756121e-20,-2.723934669636173,3.0437660730986626e-21,-3.2115837984673936,4.545568629235754e-31,,,,,-2.5484925753781167,1.9436301138916248e-17,-2.6651680845615733,8.008497100367524e-19,-2.509719436222999,8.746633181911299e-17,-2.0870709941355967,2.559111845284737e-11,-2.658986283513868,5.397097415059698e-20,-1.6952982639756722,2.0698346929770442e-07,-1.9672518096581333,4.530915556797381e-10,-1.5459836608837765,6.629546068830622e-07,-2.6640771427470797,7.304442781163199e-19,-2.692020193383491,2.130575112555745e-19,-2.804695577125416,6.79933110520549e-21,84.48275862068965,,,Colorectal Neoplasms,3.487236713628121e-05,1.0,1.1832194707896893,7.0,,,,,
2,ACPP,-1.103563621179287,5.558292642104856e-11,,,-1.3176424351216394,1.3314143681923088e-16,,,-1.3973643179953212,1.3077514727983761e-19,,,-1.179503405008601,1.1982040913299977e-12,,,-1.0962972459396243,7.995756067787989e-11,-1.0404441447262744,1.4774576915325283e-09,,,-1.2279011718536208,1.9640760225622405e-12,-1.1261952738915568,5.0225594733534345e-11,,,-1.1111643832649865,1.0388840739354578e-12,-1.152158271096746,9.229425673309686e-12,-1.0641095419002369,5.457654914478982e-10,-1.1464972199968917,1.511921649304235e-11,-1.110992080266445,3.486211147001279e-11,,,-1.0895434834134698,2.3647897453798223e-10,-1.3290176131155895,1.1550716479309946e-16,,,-1.209954182599228,4.674807021932834e-13,,,,,-1.2642981980199983,5.988681256344415e-15,-1.0788295417756897,3.547139925290008e-11,-1.1176041763276852,4.348473457271289e-11,-1.3366190091586494,1.692922533044327e-16,-1.0465153268251082,3.7978534397953616e-10,,,,,-1.0392928510808614,5.982343400497564e-10,-1.3223314365375558,8.098317134319853e-16,-1.1133082126091842,2.0552699201099478e-11,-1.0583810677749228,4.716852875001821e-10,,,,,,,-1.2456300855596598,2.366536183786349e-13,,,-1.0742202143509063,1.4219935608207932e-10,,,-1.0976862874088933,8.769752621492505e-12,,,,,,,-1.1406675256908996,1.9713244903384614e-11,,,-1.0950195484687992,8.029066781656253e-11,,,,,-1.2459331314966728,6.403965693165886e-14,-1.031618626766652,2.8732767981670565e-10,-1.037414755321285,1.7267248762943395e-09,,,-1.0705769792757815,6.203051854108082e-10,58.62068965517242,,,,,,,,,,,,
3,ACTG2,1.4915538841678126,7.56811339487741e-12,,,,,,,,,2.6228500294852197,2.8791081541829325e-39,,,,,,,,,1.123428214218776,4.977531732331114e-07,1.0770198229703811,5.281989137939991e-07,,,,,,,1.5371845232320855,1.3834681941817656e-12,,,1.0548831757490382,1.0812182578696366e-06,,,,,2.121773853698157,1.051852458944246e-25,,,,,1.0328873031409769,3.621411054150061e-07,1.98503371487232,1.5339698559313174e-20,,,,,,,1.592608842077667,4.4173372803321053e-13,,,1.738160953775612,1.9411178840016236e-16,1.6192660118786113,2.1102428226761218e-13,1.0254298471116778,2.950554354989066e-06,1.757645841202574,6.319922975927529e-17,,,1.6408396295267254,3.825125769189327e-15,,,2.21044218835604,4.378171053103135e-26,1.728900351709323,4.793015044303396e-15,,,1.330059613267417,5.376747439956196e-10,,,,,,,,,2.2621916432610583,1.464968601526482e-26,,,,,1.143328668892109,1.728139373444228e-07,,,,,,,,,1.0154333772880495,5.05878179943642e-08,,,1.1575648753740126,9.391733095229685e-08,,,1.650669991835289,1.075935675943115e-16,39.6551724137931,,,Colorectal Neoplasms,1.4945300201263376e-05,1.0,1.1832194707896893,3.0,,,,,
4,ADCY5,1.114685414198704,5.324036124381887e-07,,,,,,,,,2.2994613822247305,1.0577329902197208e-29,,,,,1.1343910730662812,3.379829482268039e-08,,,,,1.296450965854417,3.8130788582478767e-10,,,,,,,1.3648737514221434,6.185402896496858e-11,,,,,,,,,1.5062495220587262,7.312474214630175e-13,,,,,1.0479496871382357,2.3095897470608755e-07,1.425640085543099,1.2190351864873164e-10,,,,,,,1.653354483781863,7.912513344911885e-15,,,1.581106716798133,1.2945776606556667e-14,1.1030782542906734,7.449433442136536e-07,1.2524507432231278,1.13081210321344e-09,1.041175657500289,1.934308973249145e-06,,,1.520683516497384,6.053533877855729e-14,,,1.6330510415720318,9.166458036873375e-14,,,,,1.281901663681354,2.1051951156726132e-09,,,,,,,,,1.7631057759442263,3.826791501636621e-17,1.02882646323178,3.0247587345543744e-07,,,,,,,,,,,,,,,,,1.2742429804264197,5.683761808943394e-10,,,1.3860052729442254,8.496522136807914e-12,34.48275862068966,,,Colorectal Neoplasms,1.4945300201263376e-05,0.75,0.8874146030922669,3.0,,,,,
5,ADH1B,2.100699306516347,9.530957375040131e-15,,,,,-1.1582789257338717,4.094359291692457e-05,,,3.496196869956117,2.675346293423058e-32,1.3833338652348155,6.319312767215598e-08,,,1.2790133342224457,9.50219970439629e-07,1.268729600324264,1.274974678446126e-06,1.4995036938120272,4.5179686612916664e-08,1.0649002693775025,9.353975651741112e-05,,,,,,,1.6572204604970626,6.551939297505416e-10,1.0655041407903016,5.201988858979278e-05,1.247178981965188,2.0074249636518576e-06,,,,,1.8067476020340287,1.1401722310952532e-11,,,,,,,2.0722932972695327,7.194991634592059e-13,,,,,-1.0101833901221269,0.00012934555339,1.790174136041785,2.2815322516730646e-10,,,2.2610305016333263,1.3810128983299644e-17,1.9697023689754007,7.626162756555659e-12,1.66898384511177,2.2448057720151803e-10,2.2814910502377304,1.6770427229061635e-17,,,1.8949456860888,4.516598184246869e-13,,,2.495684323773345,7.12357891676804e-18,1.9549217933599967,8.110459091770206e-12,,,1.3007599255955218,1.9488948846607837e-06,,,,,,,,,3.253237888737439,5.112334793225784e-29,,,,,1.734135170382712,2.8441591740576827e-11,,,,,,,,,,,,,1.2786654855661426,1.3330782104184478e-06,1.2471889584436042,1.3890147777317472e-06,,,46.55172413793104,,,Colorectal Neoplasms,0.000119562401610107,0.9230769230769231,1.0922025884212518,24.0,Rectal Neoplasms,3.1303803412114575e-05,0.3333333333333333,1.6387093464655789,1.0
6,ADRB1,-1.0311567043682943,1.1333995414943282e-06,,,-1.5498663897340657,2.4884775897953564e-13,,,-1.4794253093924985,1.5508936085660612e-12,,,-1.0309937350502445,1.08573910229888e-06,,,,,-1.3226356897725016,1.7613746077860188e-10,-1.2493254001435032,6.654927659173866e-09,,,-1.1058727758889353,5.303055794046534e-07,,,,,-1.131843383253557,5.8185320478306016e-08,-1.1316630170529451,2.0000959274899005e-07,-1.2740297785069952,1.95312391165445e-09,-1.4734016675976107,3.56917994331488e-12,-1.1539364755337904,1.2354219430053774e-07,-1.090744719775114,4.059722361420586e-07,-1.3347505125864645,4.787117077509404e-10,,,,,,,,,-1.299594439912655,1.5153269653499266e-09,-1.2756540596663808,2.105022186104269e-09,,,-1.3373394947337771,2.4760954747030994e-10,,,,,-1.1686592139710823,7.020467858156497e-09,,,-1.3809581300165863,1.7778894171808052e-10,-1.1240631611426468,3.894463154187236e-08,,,,,,,-1.340646722690697,5.217203779569155e-10,-1.177364896828754,9.113213950382316e-08,,,,,,,-1.3983548147750575,2.5037745979220198e-11,,,,,-1.052339988614274,1.7491988761828112e-06,-1.2279130273177972,5.7266288380933875e-09,,,,,,,,,-1.03486374552795,2.300670895331559e-06,,,-1.1376553109033822,9.454900506132996e-08,-1.3040220635207913,5.176645368462732e-10,-1.1307506910883232,2.3531699333955726e-07,50.0,,,Colorectal Neoplasms,1.4945300201263376e-05,0.6,0.7099316824738136,3.0,,,,,
7,AGTR1,2.35917061588367,2.2617115999802823e-20,,,,,,,,,3.189143679259933,2.1887976409135369e-41,1.2989646518065598,6.309891172161891e-07,,,1.5082960938758898,3.034910424179734e-09,1.0909624029811325,4.448659116504115e-05,1.4000993693620691,1.8872718070045846e-07,1.802831820075541,9.311269433558466e-13,1.408138546520824,1.770838313838572e-08,,,,,1.3973599752055796,2.575295059969626e-07,1.2461648644630003,1.27084959671705e-06,1.624340682994164,2.354456790070561e-10,1.0910146093100228,3.724121763084836e-06,1.0493867991849573,7.511915196048416e-06,2.7963320347544256,9.3006904157186e-31,,,,,1.6343653110712182,1.1883455348945508e-11,2.8734310387747937,2.6656500490991346e-30,,,1.0117395501794386,9.515020655819158e-06,,,2.2433459024845,1.4048095500769518e-17,,,2.0145079441775766,6.3131129409384676e-15,1.8976175056753892,1.4794868154079274e-12,1.6116073008222502,5.004119571294351e-10,1.8861233393482832,4.996863015218804e-13,1.422414540364192,9.128767066364499e-11,1.8124373495989252,1.7514372863692333e-12,,,2.959941579959679,8.432601975884474e-33,2.178693293978092,3.3241454838341213e-16,1.0415782142680567,2.384464731377531e-06,1.7651444478052216,7.732116502041184e-12,,,,,,,,,2.6950722496617563,1.3792287331159058e-26,,,,,1.0643538768717309,9.077787435030882e-05,,,1.0742095101670035,1.467260302993259e-05,,,1.0372854185082314,4.791653307135269e-05,1.603894789452292,8.191697228310086e-13,,,1.466543636939881,1.8540290371937533e-08,1.309301310372254,3.83681145723481e-07,1.574331723860104,3.2997222838783006e-10,62.06896551724138,,,Colorectal Neoplasms,8.46900344738258e-05,0.8947368421052632,1.0586700528118271,17.0,,,,,
8,ALB,-1.8345804614226944,0.0011796166192854,,,,,,,,,-1.9815666023034504,0.0005501411927882,-1.904480011057084,0.000488880308214,,,,,,,-1.92360839731014,0.0004995857038795,-2.4436512129408,1.0644035569929592e-05,-1.2531168418197172,0.028145864304428,,,,,-1.9255625906454867,0.0007541852919465,,,-1.6953464702418204,0.0022135257691847,-1.7291427371002948,0.0014440324744523,,,,,-1.125645444117611,0.046931065886699,-1.6904450845380836,0.0026771186912261,-1.10913209285991,0.0478167234186209,,,-1.5408291928214557,0.0060709337368234,-2.202177757794708,4.213437915229169e-05,-1.3938011081482042,0.0126248606018838,,,-2.2216106323241704,4.669751010819988e-05,-1.6145676600922534,0.004103843451093,-2.2602228641692617,7.231842444633929e-05,-2.040625874598569,0.0003356068949326,-1.628283876647467,0.004553919065816,-1.4335587245874526,0.0111748829783082,-1.7548256392578017,0.0020166622113719,-1.508299186940511,0.006349446175114,1.512507773010854,0.0106054499154207,1.4149438559908618,0.0172083950172403,-1.92394704098052,0.0003336561449953,-1.5461669102120688,0.0064739249115972,-1.9826986234201305,0.0002624302526661,-2.314649316017951,4.618141680301388e-05,,,-1.43805515583108,0.0101318534928227,-2.2775719703603365,0.0001077731712273,-1.1759129393930472,0.040483833860022,-2.010306715627138,0.0001706659823202,-2.1608481952282768,9.995997242294566e-05,-2.0305944948746504,0.0003697069202203,-1.1125889897964063,0.0491929059449841,,,-1.5061765687771178,0.0079661594198605,-2.06673303294673,0.0001302864348576,2.296700075819153,2.989650249787229e-05,-1.80711725657622,0.0011063315343582,-1.7604675198807156,0.0014631823745859,,,70.6896551724138,,,Colorectal Neoplasms,0.0027100811031624257,0.8690095846645367,1.0282290608779407,544.0,Rectal Neoplasms,0.0003130380341211457,0.12195121951219512,0.599527809682529,10.0
9,ALDH1A3,1.0414918561612494,9.448855070733091e-17,,,,,,,,,1.4529544551805005,3.399078047339819e-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1651652702071489,2.9250774251544104e-23,,,,,,,1.2760503711747753,3.4379899740327186e-24,,,,,,,1.168264156911681,4.922182710875058e-21,,,1.0059089021689696,7.919594404562368e-16,1.0726148685319752,1.173291567275832e-16,,,1.2325581419731055,3.886472670222282e-25,,,,,,,1.444545231782632,1.467270119152592e-31,1.2641154073251766,8.477129815337735e-24,,,1.0169946997975798,1.2188381935601745e-17,,,,,,,,,1.269890176527692,7.931665160330316e-22,,,,,,,,,,,,,,,,,,,,,,,1.0098226137633626,6.78423607916176e-19,22.413793103448278,,,Colorectal Neoplasms,4.981766733754459e-05,1.0,1.1832194707896893,10.0,,,,,
